UTS,YS,C,Mn,Si,S,P,Cr,Ni,Mo
565.6,291.9,0.049,0.99,1.176,0.01,0.04,18.368,8.239,0.235
587.8,283.8,0.048,0.994,1.162,0.01,0.04,18.326,8.268,0.24
535.9,280.8,0.061,0.995,1.151,0.01,0.04,18.337,8.128,0.248
570.5,280.3,0.044,0.999,1.248,0.01,0.04,18.313,8.151,0.207
580.3,280.5,0.052,1.118,1.26,0.01,0.04,18.31,8.163,0.215
580.3,280.5,0.052,1.118,1.26,0.01,0.04,18.31,8.163,0.215
561.8,285.9,0.045,1.072,1.227,0.01,0.04,18.307,8.11,0.199
563.6,290.4,0.043,1.264,1.323,0.01,0.04,18.142,8.057,0.193
563.6,290.4,0.043,1.264,1.323,0.01,0.04,18.142,8.057,0.193
548.6,280.8,0.061,0.962,1.197,0.01,0.03,18.247,8.195,0.256
575.1,298.7,0.058,0.984,1.197,0.02,0.04,18.347,8.127,0.307
575.1,298.7,0.058,0.984,1.197,0.02,0.04,18.347,8.127,0.307
578.9,271.6,0.056,0.971,1.178,0.03,0.04,18.41,8.334,0.311
578.9,271.6,0.056,0.971,1.178,0.03,0.04,18.41,8.334,0.311
580.5,281.9,0.07,0.971,1.145,0.02,0.04,18.395,8.22,0.242
580.5,281.9,0.07,0.971,1.145,0.02,0.04,18.395,8.22,0.242
578.6,280.9,0.06,0.936,1.21,0.02,0.04,18.441,8.167,0.257
559.3,250.9,0.069,0.925,1.278,0.03,0.04,18.35,8.155,0.275
559.3,250.9,0.069,0.925,1.278,0.03,0.04,18.35,8.155,0.275
559.3,250.9,0.069,0.925,1.278,0.03,0.04,18.35,8.155,0.275
538.4,290.8,0.062,0.925,1.235,0.02,0.04,18.405,8.25,0.262
555.9,260.4,0.058,0.969,1.222,0.02,0.04,18.354,8.248,0.245
555.9,260.4,0.058,0.969,1.222,0.02,0.04,18.354,8.248,0.245
548.8,290.5,0.057,0.941,1.202,0.01,0.04,18.294,8.19,0.25
548.8,290.5,0.057,0.941,1.202,0.01,0.04,18.294,8.19,0.25
550.1,275.6,0.056,0.944,1.217,0.01,0.04,18.315,8.209,0.253
550.1,275.6,0.056,0.944,1.217,0.01,0.04,18.315,8.209,0.253
580.3,280.7,0.057,0.948,1.213,0.01,0.04,18.303,8.16,0.243
580.3,280.7,0.057,0.948,1.213,0.01,0.04,18.303,8.16,0.243
570.5,293.6,0.057,0.972,1.241,0.01,0.04,18.296,8.114,0.244
549.1,289.1,0.055,0.967,1.25,0.01,0.04,18.23,8.181,0.245
549.1,289.1,0.055,0.967,1.25,0.01,0.04,18.23,8.181,0.245
549.1,289.1,0.055,0.967,1.25,0.01,0.04,18.23,8.181,0.245
518.6,290.4,0.054,0.97,1.222,0.01,0.04,18.303,8.176,0.258
518.6,290.4,0.054,0.97,1.222,0.01,0.04,18.303,8.176,0.258
529.8,298.6,0.054,0.971,1.212,0.01,0.04,18.24,8.166,0.233
535.7,299.8,0.053,0.963,1.261,0.01,0.04,18.27,8.153,0.246
535.7,299.8,0.053,0.963,1.261,0.01,0.04,18.27,8.153,0.246
545.8,280.5,0.054,0.95,1.229,0.01,0.04,18.258,8.128,0.219
545.8,280.5,0.054,0.95,1.229,0.01,0.04,18.258,8.128,0.219
